id_compra,dt_compra,cd_produto,qtde_vendida,vl_vendido,nm_cliente,perc_promocao
1,2024-03-02,1041,4,18.47,Carlos Costa,0.1
2,2024-05-14,1037,17,23.35,Carlos Silva,0.2
3,2024-02-05,1023,10,52.12,Bruno Costa,0.0
4,2024-06-28,1010,16,207.51,Juliana Oliveira,0.0
5,2024-05-10,1047,12,142.68,Daniela Lima,0.05
6,2024-03-10,1003,18,19.45,Gabriel Ferreira,0.1
7,2024-06-27,1019,16,290.7,Juliana Souza,0.1
8,2024-04-02,1035,19,49.17,Gabriel Souza,0.0
9,2024-03-22,1006,15,100.8,Ana Souza,0.05
10,2024-02-22,1033,12,201.07,Helena Souza,0.05
11,2024-03-15,1035,19,143.25,Helena Silva,0.15
12,2024-01-01,1042,18,299.03,Ana Martins,0.0
13,2024-03-04,1000,11,216.47,Fernanda Lima,0.0
14,2024-02-21,1050,13,37.0,Carlos Lima,0.0
15,2024-04-03,1047,11,119.87,Helena Ferreira,0.15
16,2024-01-22,1044,8,179.32,Igor Almeida,0.0
17,2024-03-22,1043,8,229.37,Ana Lima,0.05
18,2024-01-13,1037,11,115.31,Fernanda Lima,0.0
19,2024-04-22,1006,3,220.25,Helena Martins,0.2
20,2024-04-28,1016,13,192.63,Gabriel Silva,0.0
21,2024-05-08,1021,17,246.49,Gabriel Oliveira,0.15
22,2024-01-30,1008,14,259.85,Juliana Lima,0.0
23,2024-05-07,1011,5,212.18,Ana Martins,0.0
24,2024-02-02,1009,14,182.3,Igor Almeida,0.1
25,2024-06-20,1050,1,29.24,Juliana Oliveira,0.2
26,2024-01-21,1044,14,23.88,Juliana Oliveira,0.0
27,2024-04-24,1036,14,89.55,Igor Oliveira,0.1
28,2024-05-20,1039,12,18.01,Daniela Ferreira,0.1
29,2024-03-03,1023,5,141.59,Helena Lima,0.1
30,2024-04-16,1012,2,192.68,Juliana Almeida,0.15
31,2024-01-03,1022,8,78.69,Fernanda Souza,0.0
32,2024-02-14,1020,7,77.49,Eduardo Ribeiro,0.2
33,2024-03-11,1002,2,212.98,Helena Ribeiro,0.2
34,2024-02-25,1005,15,67.65,Eduardo Lima,0.1
35,2024-05-24,1009,16,279.47,Fernanda Almeida,0.2
36,2024-01-19,1015,8,31.53,Juliana Ribeiro,0.1
37,2024-05-10,1016,2,216.91,Carlos Ribeiro,0.2
38,2024-04-04,1018,7,41.58,Juliana Ferreira,0.15
39,2024-01-26,1027,1,98.23,Juliana Souza,0.0
40,2024-02-19,1016,3,35.65,Ana Costa,0.1
41,2024-03-04,1010,14,85.41,Gabriel Martins,0.1
42,2024-04-05,1027,14,137.18,Fernanda Ribeiro,0.05
43,2024-03-14,1025,13,13.73,Gabriel Souza,0.0
44,2024-04-13,1026,5,218.31,Fernanda Ferreira,0.05
45,2024-06-21,1037,20,221.88,Igor Souza,0.0
46,2024-04-19,1029,7,93.18,Ana Lima,0.1
47,2024-04-03,1025,19,237.79,Ana Ferreira,0.2
48,2024-04-24,1039,2,48.87,Carlos Martins,0.2
49,2024-05-03,1015,16,264.06,Carlos Costa,0.1
50,2024-04-24,1040,11,231.07,Juliana Souza,0.1
51,2024-05-20,1014,19,124.25,Fernanda Pereira,0.15
52,2024-02-05,1018,19,213.84,Eduardo Souza,0.0
53,2024-05-12,1045,17,191.38,Igor Silva,0.15
54,2024-03-18,1038,15,295.83,Ana Pereira,0.2
55,2024-04-24,1004,18,280.09,Ana Ribeiro,0.0
56,2024-04-01,1005,4,144.64,Gabriel Lima,0.0
57,2024-02-28,1004,19,130.73,Daniela Ribeiro,0.05
58,2024-03-07,1032,17,161.96,Igor Oliveira,0.05
59,2024-05-09,1017,19,227.52,Eduardo Oliveira,0.0
60,2024-02-06,1047,2,291.6,Igor Martins,0.0
61,2024-06-14,1022,2,88.97,Gabriel Ribeiro,0.2
62,2024-06-23,1000,11,85.16,Juliana Souza,0.0
63,2024-02-02,1002,5,228.39,Bruno Almeida,0.2
64,2024-01-16,1009,8,290.95,Eduardo Costa,0.05
65,2024-05-27,1001,3,104.2,Juliana Costa,0.0
66,2024-03-07,1013,11,22.3,Gabriel Silva,0.1
67,2024-06-29,1018,9,260.23,Daniela Pereira,0.15
68,2024-04-15,1012,17,95.37,Gabriel Pereira,0.05
69,2024-05-30,1001,9,86.37,Helena Souza,0.0
70,2024-02-05,1007,11,44.08,Daniela Pereira,0.15
71,2024-02-15,1025,11,261.41,Gabriel Costa,0.05
72,2024-02-05,1005,12,137.32,Gabriel Pereira,0.05
73,2024-06-23,1042,2,37.55,Daniela Oliveira,0.2
74,2024-02-23,1010,7,175.31,Carlos Lima,0.2
75,2024-05-29,1046,17,151.88,Carlos Ribeiro,0.05
76,2024-02-29,1008,1,80.74,Daniela Ribeiro,0.1
77,2024-01-17,1037,15,67.88,Helena Martins,0.05
78,2024-06-17,1007,7,269.73,Igor Souza,0.0
79,2024-03-01,1006,11,20.49,Helena Pereira,0.1
80,2024-04-04,1042,16,134.63,Helena Ferreira,0.15
81,2024-03-21,1021,6,10.65,Gabriel Oliveira,0.05
82,2024-04-10,1046,14,45.12,Fernanda Oliveira,0.15
83,2024-01-08,1030,1,241.43,Fernanda Souza,0.0
84,2024-05-05,1045,7,35.33,Gabriel Ribeiro,0.2
85,2024-03-03,1003,16,197.04,Gabriel Ferreira,0.1
86,2024-04-17,1000,15,108.79,Helena Ferreira,0.15
87,2024-01-16,1025,14,187.52,Carlos Souza,0.15
88,2024-05-10,1039,3,102.49,Eduardo Martins,0.2
89,2024-05-18,1001,15,173.74,Gabriel Costa,0.1
90,2024-02-01,1037,15,24.73,Eduardo Ferreira,0.0
91,2024-04-21,1040,18,130.55,Eduardo Ferreira,0.15
92,2024-01-01,1026,16,156.13,Igor Silva,0.0
93,2024-05-23,1024,2,117.07,Igor Ribeiro,0.05
94,2024-03-12,1020,10,98.88,Helena Almeida,0.1
95,2024-02-05,1017,12,11.72,Fernanda Ribeiro,0.2
96,2024-02-21,1033,15,38.17,Bruno Pereira,0.1
97,2024-01-26,1046,1,295.19,Carlos Ribeiro,0.05
98,2024-05-11,1016,8,199.96,Bruno Ribeiro,0.1
99,2024-05-25,1027,19,224.27,Bruno Almeida,0.2
100,2024-04-22,1036,11,212.48,Bruno Martins,0.15
101,2024-06-16,1013,19,127.25,Fernanda Costa,0.2
102,2024-06-18,1039,9,190.8,Igor Ferreira,0.05
103,2024-04-15,1040,18,279.03,Igor Ferreira,0.0
